id,species,full_name,age,owner_id
1,Dog,Buddy,4,1
2,Cat,Whiskers,7,1
3,Cat,Luna,2,2
4,Rabbit,Cinnamon,3,2
5,Hamster,Peanut,1,2
6,Dog,Max,6,3
7,Bird,Sunny,5,4
8,Cat,Shadow,4,4
9,Dog,Rocky,3,5
10,Dog,Bella,2,5
11,Fish,Nemo,1,5
12,Cat,Mittens,9,6
13,Turtle,Sheldon,12,7
14,Dog,Charlie,5,7
15,Cat,Cleo,3,8
16,Bird,Kiwi,2,8
17,Dog,Duke,7,9
18,Hamster,Nibbles,1,10
19,Rabbit,Daisy,4,10
20,Cat,Simba,6,10
21,Dog,Zeus,2,11
22,Cat,Nala,3,11
23,Guinea Pig,Caramel,2,12
24,Dog,Bear,5,13
25,Fish,Goldie,1,13
26,Cat,Lily,5,14
27,Cat,Oliver,4,14
28,Rabbit,Snowball,2,14
29,Dog,Cooper,3,15
30,Bird,Rio,6,16
31,Hamster,Cookie,1,16
32,Dog,Ace,4,17
33,Cat,Pearl,8,17
34,Cat,Zoe,2,18
35,Dog,Rex,6,19
36,Turtle,Tank,9,19
37,Bird,Polly,7,19
38,Cat,Ginger,5,20
39,Dog,Harley,3,21
40,Guinea Pig,Hazel,1,21
41,Rabbit,Oreo,3,22
42,Dog,Bruno,8,23
43,Cat,Stella,4,23
44,Bird,Pepper,3,24
45,Dog,Scout,2,25
46,Hamster,Biscuit,1,25
